Fecha_Registro,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,Punto de rocío
29-octubre-2024,17:56,Neblina,24°,13 km/h,29%,1025 hPa,5°
29-octubre-2024,19:42,Neblina,18°,20 km/h,64%,1026 hPa,11°
29-octubre-2024,19:49,Neblina,18°,19 km/h,64%,1026 hPa,11°
29-octubre-2024,21:45,Neblina,16°,13 km/h,68%,1028 hPa,10°
29-octubre-2024,22:45,Neblina,15°,6 km/h,72%,1028 hPa,10°
29-octubre-2024,23:50,Neblina,16°,7 km/h,63%,1028 hPa,9°
30-octubre-2024,02:46,Neblina,13°,9 km/h,82%,1027 hPa,10°
30-octubre-2024,02:48,Neblina,12°,9 km/h,88%,1027 hPa,10°
30-octubre-2024,05:47,Neblina,11°,7 km/h,87%,1028 hPa,9°
30-octubre-2024,06:45,Neblina,11°,6 km/h,87%,1028 hPa,9°
30-octubre-2024,07:21,Neblina,14°,En calma,77%,1029 hPa,10°
30-octubre-2024,10:35,Neblina,20°,En calma,53%,1030 hPa,10°
30-octubre-2024,10:47,Neblina,21°,9 km/h,49%,1029 hPa,10°
30-octubre-2024,11:43,Neblina,23°,6 km/h,41%,1028 hPa,9°
30-octubre-2024,11:45,Neblina,23°,6 km/h,41%,1028 hPa,9°
30-octubre-2024,12:45,Neblina,23°,15 km/h,41%,1027 hPa,9°
30-octubre-2024,13:47,Neblina,24°,15 km/h,31%,1026 hPa,6°
30-octubre-2024,14:49,Neblina,23°,19 km/h,33%,1025 hPa,6°
30-octubre-2024,15:51,Neblina,24°,11 km/h,31%,1025 hPa,6°
30-octubre-2024,17:50,Neblina,23°,19 km/h,33%,1023 hPa,6°
30-octubre-2024,17:56,Neblina,24°,13 km/h,29%,1025 hPa,5°
30-octubre-2024,18:14,Neblina,22°,17 km/h,38%,1025 hPa,7°
30-octubre-2024,18:49,Neblina,21°,28 km/h,46%,1025 hPa,9°
30-octubre-2024,20:51,Neblina,19°,19 km/h,56%,1027 hPa,10°
30-octubre-2024,22:46,Neblina,19°,6 km/h,49%,1028 hPa,8°
30-octubre-2024,23:45,Neblina,18°,15 km/h,59%,1027 hPa,10°
31-octubre-2024,00:46,Neblina,18°,13 km/h,59%,1027 hPa,10°
31-octubre-2024,02:45,Neblina,16°,6 km/h,68%,1026 hPa,10°
31-octubre-2024,05:48,Neblina,13°,4 km/h,72%,1026 hPa,8°
31-octubre-2024,11:31,Neblina,22°,7 km/h,38%,1027 hPa,7°
31-octubre-2024,11:45,Neblina,22°,11 km/h,38%,1027 hPa,7°
31-octubre-2024,12:46,Tormenta de polvo,23°,11 km/h,31%,1026 hPa,5°
31-octubre-2024,13:46,Tormenta de polvo,24°,15 km/h,31%,1025 hPa,6°
31-octubre-2024,15:45,Neblina,24°,22 km/h,29%,1023 hPa,5°
31-octubre-2024,16:45,Neblina,23°,15 km/h,31%,1023 hPa,5°
31-octubre-2024,17:48,Lluvia prÃ³xima,20°,19 > 37 km/h,53%,1023 hPa,10°
31-octubre-2024,17:50,Neblina,23°,19 km/h,33%,1023 hPa,6°
31-octubre-2024,18:25,Neblina,21°,28 km/h,40%,1024 hPa,7°
31-octubre-2024,18:45,Neblina,21°,30 km/h,40%,1025 hPa,7°
31-octubre-2024,19:30,Neblina,19°,26 km/h,56%,1025 hPa,10°
31-octubre-2024,19:45,Neblina,19°,19 km/h,56%,1025 hPa,10°
31-octubre-2024,21:45,Neblina,19°,15 km/h,52%,1027 hPa,9°
31-octubre-2024,22:45,Neblina,18°,13 km/h,59%,1027 hPa,10°
31-octubre-2024,23:45,Neblina,17°,9 km/h,63%,1027 hPa,10°
1-noviembre-2024,03:44,Neblina,13°,6 km/h,88%,1025 hPa,11°
1-noviembre-2024,03:45,Neblina,13°,6 km/h,88%,1025 hPa,11°
1-noviembre-2024,05:46,Neblina,14°,7 km/h,82%,1026 hPa,11°
1-noviembre-2024,08:49,Neblina,17°,7 km/h,68%,1028 hPa,11°
1-noviembre-2024,09:47,Neblina,19°,6 km/h,56%,1028 hPa,10°
1-noviembre-2024,11:45,Neblina,21°,11 km/h,49%,1027 hPa,10°
1-noviembre-2024,13:50,Neblina,23°,6 km/h,36%,1024 hPa,7°
1-noviembre-2024,14:45,Neblina,24°,6 km/h,34%,1023 hPa,7°
1-noviembre-2024,16:07,Lluvia prÃ³xima,22°,22 > 41 km/h,43%,1022 hPa,9°
1-noviembre-2024,16:44,Lluvia prÃ³xima,20°,26 km/h,46%,1022 hPa,8°
1-noviembre-2024,16:46,Lluvia prÃ³xima,20°,24 km/h,46%,1022 hPa,8°
1-noviembre-2024,17:46,Lluvia prÃ³xima,20°,19 > 37 km/h,53%,1023 hPa,10°
1-noviembre-2024,17:48,Lluvia prÃ³xima,20°,19 > 37 km/h,53%,1023 hPa,10°
1-noviembre-2024,17:55,Neblina,19°,15 km/h,49%,1024 hPa,8°
1-noviembre-2024,18:51,Neblina,19°,19 km/h,60%,1025 hPa,11°
1-noviembre-2024,20:48,Lluvia prÃ³xima,18°,11 km/h,59%,1026 hPa,10°
1-noviembre-2024,23:45,Neblina,17°,19 km/h,63%,1027 hPa,10°
2-noviembre-2024,00:45,Neblina,16°,13 km/h,68%,1027 hPa,10°
2-noviembre-2024,03:45,Neblina,15°,9 km/h,72%,1026 hPa,10°
2-noviembre-2024,04:46,Neblina,15°,9 km/h,77%,1025 hPa,11°
2-noviembre-2024,05:47,Neblina,14°,7 km/h,82%,1025 hPa,11°
2-noviembre-2024,06:45,Neblina,13°,9 km/h,88%,1026 hPa,11°
2-noviembre-2024,08:45,Neblina,15°,6 km/h,77%,1027 hPa,11°
2-noviembre-2024,09:10,Neblina,17°,9 km/h,68%,1028 hPa,11°
2-noviembre-2024,09:50,Neblina,17°,6 km/h,63%,1028 hPa,10°
2-noviembre-2024,10:38,Neblina,19°,6 km/h,56%,1027 hPa,10°
2-noviembre-2024,11:50,Neblina,20°,11 km/h,49%,1026 hPa,9°
2-noviembre-2024,12:25,Neblina,22°,9 km/h,43%,1026 hPa,9°
2-noviembre-2024,12:50,Neblina,22°,6 km/h,43%,1025 hPa,9°
2-noviembre-2024,14:51,Neblina,23°,15 km/h,38%,1023 hPa,8°
2-noviembre-2024,15:55,Neblina,23°,13 km/h,38%,1022 hPa,8°
2-noviembre-2024,16:48,Neblina,22°,22 km/h,46%,1022 hPa,10°
2-noviembre-2024,17:50,Neblina,20°,19 km/h,49%,1023 hPa,9°
2-noviembre-2024,17:55,Neblina,19°,15 km/h,49%,1024 hPa,8°
2-noviembre-2024,18:11,Lluvia ligera,18°,19 km/h,52%,1024 hPa,8°
2-noviembre-2024,18:54,Lluvia ligera,18°,13 km/h,64%,1025 hPa,11°
2-noviembre-2024,19:12,Neblina,17°,11 km/h,68%,1025 hPa,11°
2-noviembre-2024,19:48,Neblina,17°,7 km/h,68%,1025 hPa,11°
2-noviembre-2024,21:45,Neblina,16°,17 km/h,72%,1027 hPa,11°
2-noviembre-2024,22:46,Neblina,16°,9 km/h,72%,1026 hPa,11°
2-noviembre-2024,23:52,Neblina,16°,En calma,72%,1026 hPa,11°
3-noviembre-2024,05:51,Neblina,14°,En calma,77%,1024 hPa,10°
3-noviembre-2024,06:45,Neblina,12°,6 km/h,88%,1025 hPa,10°
3-noviembre-2024,07:50,Neblina,14°,9 km/h,82%,1025 hPa,11°
3-noviembre-2024,09:45,Neblina,19°,6 km/h,60%,1026 hPa,11°
3-noviembre-2024,09:50,Neblina,19°,6 km/h,56%,1026 hPa,10°
3-noviembre-2024,10:40,Neblina,21°,7 km/h,49%,1025 hPa,10°
3-noviembre-2024,10:45,Neblina,21°,En calma,49%,1025 hPa,10°
3-noviembre-2024,11:45,Neblina,22°,9 km/h,43%,1024 hPa,9°
3-noviembre-2024,13:20,Neblina,25°,6 km/h,34%,1022 hPa,8°
3-noviembre-2024,13:50,Neblina,24°,9 km/h,36%,1021 hPa,8°
3-noviembre-2024,14:53,Neblina,24°,11 km/h,34%,1021 hPa,7°
3-noviembre-2024,15:49,Neblina,23°,7 km/h,33%,1020 hPa,6°
3-noviembre-2024,16:48,Neblina,22°,19 km/h,41%,1021 hPa,8°
3-noviembre-2024,17:47,Neblina,20°,22 km/h,53%,1021 hPa,10°
3-noviembre-2024,17:56,Neblina,19°,26 km/h,60%,1022 hPa,11°
3-noviembre-2024,18:56,Neblina,18°,En calma,59%,1022 hPa,10°
3-noviembre-2024,19:50,Neblina,18°,En calma,59%,1023 hPa,10°
3-noviembre-2024,20:55,Neblina,18°,11 km/h,59%,1024 hPa,10°
3-noviembre-2024,21:45,Neblina,18°,6 km/h,59%,1024 hPa,10°
3-noviembre-2024,23:45,Neblina,17°,6 km/h,68%,1025 hPa,11°
4-noviembre-2024,00:45,Neblina,16°,6 km/h,72%,1024 hPa,11°
4-noviembre-2024,05:45,Neblina,14°,4 km/h,82%,1023 hPa,11°
4-noviembre-2024,06:45,Neblina,13°,6 km/h,82%,1024 hPa,10°
4-noviembre-2024,08:44,Neblina,18°,6 km/h,59%,1025 hPa,10°
4-noviembre-2024,08:46,Neblina,19°,En calma,56%,1025 hPa,10°
4-noviembre-2024,10:49,Neblina,22°,11 km/h,46%,1025 hPa,10°
4-noviembre-2024,12:46,Neblina,24°,6 km/h,38%,1022 hPa,9°
4-noviembre-2024,13:53,Neblina,25°,15 km/h,36%,1021 hPa,9°
4-noviembre-2024,14:52,Neblina,24°,15 km/h,41%,1020 hPa,10°
4-noviembre-2024,15:49,Neblina,23°,20 km/h,41%,1020 hPa,9°
4-noviembre-2024,16:31,Lluvia ligera,22°,17 km/h,46%,1019 hPa,10°
4-noviembre-2024,16:48,Neblina,22°,19 > 37 km/h,50%,1019 hPa,11°
4-noviembre-2024,16:54,Neblina,21°,24 km/h,53%,1019 hPa,11°
4-noviembre-2024,17:55,Neblina,20°,19 km/h,53%,1021 hPa,10°
4-noviembre-2024,18:48,Neblina,20°,13 km/h,60%,1021 hPa,12°
4-noviembre-2024,19:45,Neblina,19°,15 km/h,64%,1021 hPa,12°
4-noviembre-2024,21:45,Neblina,18°,13 km/h,68%,1023 hPa,12°
4-noviembre-2024,22:45,Neblina,17°,9 km/h,68%,1023 hPa,11°
4-noviembre-2024,23:46,Neblina,17°,7 km/h,68%,1023 hPa,11°
5-noviembre-2024,01:46,Neblina,16°,6 km/h,72%,1022 hPa,11°
5-noviembre-2024,05:47,Neblina,14°,En calma,82%,1022 hPa,11°
5-noviembre-2024,06:45,Neblina,12°,7 km/h,88%,1023 hPa,10°
5-noviembre-2024,07:20,Neblina,14°,6 km/h,82%,1024 hPa,11°
5-noviembre-2024,07:47,Neblina,15°,7 km/h,77%,1024 hPa,11°
5-noviembre-2024,09:17,Neblina,19°,En calma,60%,1025 hPa,11°
5-noviembre-2024,09:46,Neblina,20°,7 km/h,60%,1025 hPa,12°
5-noviembre-2024,14:52,Neblina,24°,7 km/h,29%,1020 hPa,5°
5-noviembre-2024,15:52,Neblina,24°,7 km/h,27%,1020 hPa,4°
5-noviembre-2024,16:52,Neblina,23°,19 km/h,29%,1020 hPa,4°
5-noviembre-2024,17:52,Neblina,21°,13 km/h,49%,1021 hPa,10°
5-noviembre-2024,17:54,Neblina,21°,19 km/h,53%,1022 hPa,11°
5-noviembre-2024,17:55,Neblina,20°,19 km/h,53%,1021 hPa,10°
5-noviembre-2024,18:50,Neblina,19°,22 km/h,56%,1021 hPa,10°
5-noviembre-2024,19:55,Neblina,18°,26 km/h,59%,1023 hPa,10°
5-noviembre-2024,20:54,Neblina,18°,15 km/h,64%,1025 hPa,11°
5-noviembre-2024,21:46,Neblina,18°,4 km/h,59%,1025 hPa,10°
5-noviembre-2024,23:45,Neblina,17°,9 km/h,68%,1025 hPa,11°
6-noviembre-2024,02:45,Neblina,14°,4 km/h,82%,1023 hPa,11°
6-noviembre-2024,03:48,Neblina,13°,7 km/h,88%,1023 hPa,11°
6-noviembre-2024,05:46,Neblina,12°,7 km/h,88%,1024 hPa,10°
6-noviembre-2024,06:45,Neblina,11°,6 km/h,87%,1025 hPa,9°
6-noviembre-2024,07:19,Neblina,13°,6 km/h,82%,1025 hPa,10°
6-noviembre-2024,09:21,Neblina,18°,6 km/h,64%,1026 hPa,11°
6-noviembre-2024,09:46,Neblina,19°,En calma,56%,1026 hPa,10°
6-noviembre-2024,10:47,Neblina,20°,7 km/h,53%,1026 hPa,10°
6-noviembre-2024,11:44,Neblina,23°,6 km/h,38%,1025 hPa,8°
6-noviembre-2024,11:46,Neblina,24°,6 km/h,34%,1025 hPa,7°
6-noviembre-2024,12:49,Neblina,25°,6 km/h,30%,1024 hPa,6°
6-noviembre-2024,14:53,Neblina,25°,11 km/h,26%,1022 hPa,4°
6-noviembre-2024,15:49,Neblina,24°,11 km/h,27%,1022 hPa,4°
6-noviembre-2024,16:48,Neblina,24°,11 km/h,31%,1022 hPa,6°
6-noviembre-2024,17:50,Neblina,22°,19 km/h,46%,1022 hPa,10°
6-noviembre-2024,17:54,Neblina,21°,19 km/h,53%,1022 hPa,11°
6-noviembre-2024,18:54,Neblina,20°,19 km/h,56%,1023 hPa,11°
6-noviembre-2024,19:47,Neblina,19°,11 km/h,60%,1025 hPa,11°
6-noviembre-2024,21:45,Neblina,19°,En calma,60%,1025 hPa,11°
6-noviembre-2024,22:45,Neblina,18°,11 km/h,64%,1026 hPa,11°
6-noviembre-2024,23:45,Neblina,18°,En calma,59%,1025 hPa,10°
7-noviembre-2024,01:42,Neblina,15°,9 km/h,72%,1025 hPa,10°
7-noviembre-2024,01:45,Neblina,14°,9 km/h,77%,1025 hPa,10°
7-noviembre-2024,05:48,Neblina,11°,7 km/h,87%,1025 hPa,9°
7-noviembre-2024,07:50,Neblina,13°,9 km/h,77%,1027 hPa,9°
7-noviembre-2024,08:15,Neblina,15°,9 km/h,72%,1027 hPa,10°
7-noviembre-2024,08:50,Neblina,16°,6 km/h,68%,1027 hPa,10°
7-noviembre-2024,09:48,Neblina,19°,7 km/h,56%,1028 hPa,10°
7-noviembre-2024,09:50,Neblina,19°,7 km/h,56%,1028 hPa,10°
7-noviembre-2024,10:43,Neblina,21°,6 km/h,49%,1027 hPa,10°
7-noviembre-2024,10:45,Neblina,21°,9 km/h,53%,1027 hPa,11°
7-noviembre-2024,11:43,Neblina,23°,En calma,36%,1026 hPa,7°
7-noviembre-2024,11:50,Neblina,23°,11 km/h,41%,1026 hPa,9°
7-noviembre-2024,12:40,Neblina,25°,13 km/h,30%,1025 hPa,6°
7-noviembre-2024,12:50,Neblina,25°,9 km/h,30%,1025 hPa,6°
7-noviembre-2024,13:50,Neblina,25°,15 km/h,30%,1023 hPa,6°
7-noviembre-2024,16:56,Neblina,25°,17 km/h,28%,1023 hPa,5°
7-noviembre-2024,17:45,Despejado,25°,15 km/h,21%,1022 hPa,1°
7-noviembre-2024,18:51,Neblina,22°,37 km/h,38%,1025 hPa,7°
7-noviembre-2024,18:53,Neblina,22°,22 km/h,38%,1025 hPa,7°
7-noviembre-2024,19:45,Despejado,21°,28 km/h,38%,1025 hPa,6°
7-noviembre-2024,20:38,Despejado,19°,15 km/h,40%,1026 hPa,5°
7-noviembre-2024,22:45,Nubes dispersas,19°,9 km/h,37%,1026 hPa,4°
7-noviembre-2024,23:45,Despejado,18°,6 km/h,42%,1026 hPa,5°
8-noviembre-2024,05:45,Neblina,12°,7 km/h,62%,1025 hPa,5°
8-noviembre-2024,06:45,Neblina,11°,6 km/h,71%,1026 hPa,6°
8-noviembre-2024,07:21,Neblina,13°,6 km/h,62%,1026 hPa,6°
8-noviembre-2024,07:49,Neblina,14°,6 km/h,58%,1026 hPa,6°
8-noviembre-2024,08:24,Neblina,16°,6 km/h,55%,1027 hPa,7°
8-noviembre-2024,09:45,Neblina,21°,En calma,38%,1027 hPa,6°
8-noviembre-2024,12:49,Neblina,24°,13 km/h,27%,1024 hPa,4°
8-noviembre-2024,14:44,Neblina,26°,19 > 37 km/h,24%,1022 hPa,4°
8-noviembre-2024,14:50,Neblina,26°,28 km/h,23%,1022 hPa,3°
8-noviembre-2024,15:50,Neblina,26°,15 km/h,23%,1021 hPa,3°
8-noviembre-2024,16:50,Nubes dispersas,26°,19 km/h,23%,1021 hPa,3°
8-noviembre-2024,17:45,Despejado,25°,15 km/h,21%,1022 hPa,1°
8-noviembre-2024,17:50,Despejado,23°,22 km/h,25%,1022 hPa,2°
8-noviembre-2024,18:45,Despejado,23°,19 km/h,27%,1022 hPa,3°
8-noviembre-2024,18:50,Despejado,23°,19 km/h,27%,1022 hPa,3°
8-noviembre-2024,19:35,Neblina,21°,19 km/h,35%,1023 hPa,5°
8-noviembre-2024,19:50,Neblina,20°,19 km/h,40%,1024 hPa,6°
8-noviembre-2024,20:45,Neblina,19°,15 km/h,43%,1025 hPa,6°
8-noviembre-2024,22:45,Despejado,19°,7 km/h,43%,1026 hPa,6°
8-noviembre-2024,23:45,Despejado,18°,7 km/h,45%,1026 hPa,6°
9-noviembre-2024,01:41,Despejado,15°,6 km/h,55%,1025 hPa,6°
9-noviembre-2024,02:41,Despejado,12°,9 km/h,67%,1025 hPa,6°
9-noviembre-2024,02:45,Despejado,12°,9 km/h,67%,1025 hPa,6°
9-noviembre-2024,03:46,Neblina,11°,9 km/h,71%,1025 hPa,6°
9-noviembre-2024,04:46,Neblina,10°,7 km/h,76%,1025 hPa,6°
9-noviembre-2024,06:45,Neblina,9°,11 km/h,81%,1026 hPa,6°
9-noviembre-2024,07:40,Neblina,12°,9 km/h,67%,1026 hPa,6°
9-noviembre-2024,07:45,Neblina,12°,7 km/h,67%,1026 hPa,6°
9-noviembre-2024,08:40,Neblina,14°,9 km/h,58%,1027 hPa,6°
9-noviembre-2024,08:45,Neblina,14°,6 km/h,63%,1027 hPa,7°
9-noviembre-2024,09:18,Neblina,16°,6 km/h,55%,1027 hPa,7°
9-noviembre-2024,10:15,Neblina,20°,9 km/h,40%,1027 hPa,6°
9-noviembre-2024,10:45,Neblina,21°,15 km/h,33%,1026 hPa,4°
9-noviembre-2024,11:43,Parcialmente cubierto,23°,6 km/h,23%,1025 hPa,1°
9-noviembre-2024,11:45,Parcialmente cubierto,23°,6 km/h,25%,1025 hPa,2°
9-noviembre-2024,12:50,Nubes dispersas,24°,13 km/h,22%,1024 hPa,1°
9-noviembre-2024,13:45,Neblina,25°,15 km/h,19%,1022 hPa,0°
9-noviembre-2024,14:56,Despejado,26°,15 km/h,15%,1021 hPa,-3°
9-noviembre-2024,15:56,Despejado,27°,19 km/h,12%,1021 hPa,-5°
9-noviembre-2024,16:50,Despejado,26°,11 km/h,15%,1021 hPa,-3°
9-noviembre-2024,17:47,Despejado,24°,19 km/h,24%,1022 hPa,2°
9-noviembre-2024,17:50,Despejado,23°,22 km/h,25%,1022 hPa,2°
9-noviembre-2024,17:55,Nubes dispersas,23°,22 km/h,22%,1024 hPa,0°
9-noviembre-2024,18:37,Despejado,21°,19 km/h,30%,1023 hPa,3°
9-noviembre-2024,18:52,Despejado,20°,22 km/h,37%,1024 hPa,5°
9-noviembre-2024,19:53,Despejado,19°,15 km/h,43%,1025 hPa,6°
9-noviembre-2024,20:49,Despejado,18°,7 km/h,42%,1026 hPa,5°
9-noviembre-2024,23:30,Neblina,14°,7 km/h,67%,1027 hPa,8°
9-noviembre-2024,23:45,Neblina,13°,9 km/h,72%,1027 hPa,8°
10-noviembre-2024,02:03,Neblina,10°,11 km/h,76%,1026 hPa,6°
10-noviembre-2024,03:45,Neblina,11°,6 km/h,71%,1026 hPa,6°
10-noviembre-2024,05:45,Neblina,8°,6 km/h,81%,1026 hPa,5°
10-noviembre-2024,07:45,Mayormente cubierto,10°,9 km/h,76%,1028 hPa,6°
10-noviembre-2024,08:10,Mayormente cubierto,12°,9 km/h,62%,1028 hPa,5°
10-noviembre-2024,08:50,Neblina,13°,9 km/h,67%,1029 hPa,7°
10-noviembre-2024,09:20,Neblina,15°,6 km/h,59%,1029 hPa,7°
10-noviembre-2024,09:50,Neblina,17°,En calma,55%,1029 hPa,8°
10-noviembre-2024,09:52,Neblina,17°,6 km/h,55%,1029 hPa,8°
10-noviembre-2024,10:38,Neblina,19°,En calma,46%,1028 hPa,7°
10-noviembre-2024,11:20,Neblina,21°,9 km/h,40%,1028 hPa,7°
10-noviembre-2024,11:50,Neblina,22°,9 km/h,29%,1027 hPa,3°
10-noviembre-2024,12:45,Neblina,23°,11 km/h,31%,1026 hPa,5°
10-noviembre-2024,13:30,Neblina,25°,19 km/h,26%,1025 hPa,4°
10-noviembre-2024,13:50,Neblina,25°,9 km/h,26%,1025 hPa,4°
10-noviembre-2024,14:49,Parcialmente cubierto,26°,15 km/h,18%,1023 hPa,0°
10-noviembre-2024,15:50,Parcialmente cubierto,27°,15 km/h,15%,1023 hPa,-2°
10-noviembre-2024,16:56,Nubes dispersas,26°,26 km/h,15%,1023 hPa,-3°
10-noviembre-2024,17:51,Nubes dispersas,24°,22 km/h,19%,1024 hPa,-1°
10-noviembre-2024,17:55,Nubes dispersas,23°,22 km/h,22%,1024 hPa,0°
10-noviembre-2024,19:51,Despejado,21°,26 km/h,20%,1026 hPa,-3°
10-noviembre-2024,20:47,Despejado,20°,15 km/h,21%,1027 hPa,-3°
10-noviembre-2024,21:45,Despejado,19°,9 km/h,24%,1028 hPa,-2°
10-noviembre-2024,22:45,Despejado,19°,7 km/h,24%,1028 hPa,-2°
10-noviembre-2024,23:21,Despejado,17°,17 km/h,29%,1028 hPa,-1°
10-noviembre-2024,23:47,Despejado,17°,11 km/h,29%,1028 hPa,-1°
11-noviembre-2024,02:41,Despejado,13°,9 km/h,44%,1027 hPa,1°
11-noviembre-2024,05:45,Despejado,10°,9 km/h,57%,1028 hPa,2°
11-noviembre-2024,06:13,Despejado,8°,11 km/h,66%,1028 hPa,2°
11-noviembre-2024,07:21,Mayormente cubierto,10°,9 km/h,57%,1029 hPa,2°
11-noviembre-2024,07:48,Mayormente cubierto,11°,9 km/h,54%,1029 hPa,2°
11-noviembre-2024,08:20,Mayormente cubierto,13°,9 km/h,51%,1029 hPa,3°
11-noviembre-2024,09:21,Parcialmente cubierto,17°,6 km/h,39%,1030 hPa,3°
11-noviembre-2024,09:40,Parcialmente cubierto,19°,6 km/h,34%,1030 hPa,3°
11-noviembre-2024,09:47,Parcialmente cubierto,19°,6 km/h,34%,1030 hPa,3°
11-noviembre-2024,11:40,Neblina,22°,11 km/h,25%,1028 hPa,1°
11-noviembre-2024,12:48,Neblina,23°,6 km/h,23%,1026 hPa,1°
11-noviembre-2024,13:32,Neblina,25°,11 km/h,18%,1025 hPa,-1°
11-noviembre-2024,13:45,Neblina,26°,7 km/h,17%,1025 hPa,-1°
11-noviembre-2024,14:49,Neblina,25°,11 km/h,17%,1024 hPa,-2°
11-noviembre-2024,15:49,Neblina,26°,19 km/h,16%,1023 hPa,-2°
11-noviembre-2024,16:52,Neblina,25°,19 km/h,18%,1023 hPa,-1°
11-noviembre-2024,17:26,Neblina,23°,26 km/h,23%,1024 hPa,1°
11-noviembre-2024,18:41,Despejado,20°,33 km/h,28%,1025 hPa,1°
11-noviembre-2024,18:45,Despejado,20°,32 km/h,28%,1025 hPa,1°
11-noviembre-2024,21:45,Despejado,18°,9 km/h,30%,1028 hPa,0°
11-noviembre-2024,22:46,Despejado,17°,15 km/h,34%,1028 hPa,1°
11-noviembre-2024,23:44,Despejado,15°,6 km/h,39%,1028 hPa,1°
11-noviembre-2024,23:51,Despejado,14°,6 km/h,41%,1028 hPa,1°
12-noviembre-2024,00:45,Despejado,13°,9 km/h,47%,1028 hPa,2°
12-noviembre-2024,03:04,Despejado,10°,9 km/h,57%,1027 hPa,2°
12-noviembre-2024,05:48,Despejado,10°,6 km/h,57%,1027 hPa,2°
12-noviembre-2024,08:20,Despejado,13°,9 km/h,51%,1028 hPa,3°
12-noviembre-2024,09:17,Despejado,16°,6 km/h,42%,1028 hPa,3°
12-noviembre-2024,09:43,Despejado,18°,6 km/h,37%,1028 hPa,3°
12-noviembre-2024,11:47,Despejado,21°,En calma,23%,1026 hPa,-1°
12-noviembre-2024,12:33,Despejado,23°,6 km/h,20%,1025 hPa,-1°
12-noviembre-2024,12:49,Despejado,23°,En calma,22%,1025 hPa,0°
12-noviembre-2024,14:52,Neblina,24°,15 km/h,19%,1022 hPa,-1°
12-noviembre-2024,15:52,Neblina,24°,9 km/h,19%,1022 hPa,-1°
12-noviembre-2024,17:47,Neblina,22°,13 km/h,16%,1022 hPa,-5°
12-noviembre-2024,18:32,Despejado,20°,20 km/h,37%,1022 hPa,5°
12-noviembre-2024,18:56,Neblina,19°,9 km/h,40%,1023 hPa,5°
12-noviembre-2024,19:43,Despejado,17°,19 km/h,48%,1024 hPa,6°
12-noviembre-2024,21:45,Despejado,17°,9 km/h,45%,1026 hPa,5°
12-noviembre-2024,22:52,Despejado,17°,9 km/h,45%,1026 hPa,5°
12-noviembre-2024,23:34,Despejado,15°,En calma,51%,1026 hPa,5°
13-noviembre-2024,00:41,Neblina,13°,11 km/h,58%,1026 hPa,5°
13-noviembre-2024,01:46,Neblina,12°,7 km/h,58%,1026 hPa,4°
13-noviembre-2024,02:56,Neblina,11°,4 km/h,62%,1025 hPa,4°
13-noviembre-2024,02:58,Neblina,11°,En calma,62%,1025 hPa,4°
13-noviembre-2024,03:45,Neblina,11°,En calma,66%,1025 hPa,5°
13-noviembre-2024,04:41,Neblina,9°,11 km/h,71%,1025 hPa,4°
13-noviembre-2024,05:45,Neblina,8°,9 km/h,76%,1026 hPa,4°
13-noviembre-2024,07:45,Neblina,9°,9 km/h,71%,1027 hPa,4°
13-noviembre-2024,08:05,Neblina,11°,9 km/h,62%,1028 hPa,4°
13-noviembre-2024,08:45,Neblina,13°,6 km/h,58%,1028 hPa,5°
13-noviembre-2024,09:10,Neblina,15°,9 km/h,51%,1028 hPa,5°
13-noviembre-2024,09:40,Neblina,17°,En calma,45%,1028 hPa,5°
13-noviembre-2024,09:50,Neblina,18°,9 km/h,42%,1028 hPa,5°
13-noviembre-2024,10:30,Neblina,20°,6 km/h,37%,1028 hPa,5°
13-noviembre-2024,10:50,Neblina,20°,7 km/h,37%,1028 hPa,5°
13-noviembre-2024,12:45,Neblina,22°,26 km/h,21%,1026 hPa,-1°
13-noviembre-2024,14:55,Neblina,24°,15 km/h,18%,1023 hPa,-2°
13-noviembre-2024,15:46,Neblina,25°,15 km/h,15%,1023 hPa,-3°
13-noviembre-2024,16:51,Neblina,24°,24 km/h,13%,1023 hPa,-6°
13-noviembre-2024,17:44,Neblina,22°,35 km/h,14%,1024 hPa,-7°
13-noviembre-2024,17:48,Neblina,19°,26 km/h,32%,1026 hPa,2°
13-noviembre-2024,17:52,Neblina,22°,20 km/h,15%,1024 hPa,-6°
13-noviembre-2024,18:46,Despejado,20°,28 km/h,13%,1025 hPa,-9°
13-noviembre-2024,18:53,Despejado,20°,26 km/h,13%,1025 hPa,-9°
13-noviembre-2024,19:38,Despejado,18°,22 km/h,20%,1026 hPa,-5°
13-noviembre-2024,19:45,Despejado,18°,19 km/h,22%,1026 hPa,-4°
13-noviembre-2024,20:27,Despejado,16°,15 km/h,42%,1027 hPa,3°
13-noviembre-2024,20:47,Despejado,16°,11 km/h,45%,1028 hPa,4°
13-noviembre-2024,21:45,Despejado,15°,11 km/h,48%,1028 hPa,4°
13-noviembre-2024,23:45,Despejado,15°,9 km/h,41%,1029 hPa,2°
14-noviembre-2024,03:47,Despejado,11°,11 km/h,71%,1028 hPa,6°
14-noviembre-2024,04:47,Neblina,11°,17 km/h,71%,1028 hPa,6°
14-noviembre-2024,05:47,Neblina,11°,11 km/h,71%,1028 hPa,6°
14-noviembre-2024,07:46,Neblina,11°,6 km/h,76%,1030 hPa,7°
